127.0.0.1, 2016-04-04 22:57:03, GET, /, HTTP/1.1, 303, 0.000618
127.0.0.1, 2016-04-04 22:57:04, GET, /welcome/default/index, HTTP/1.1, 200, 1.015484
127.0.0.1, 2016-04-04 22:57:04, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000425
127.0.0.1, 2016-04-04 22:57:04, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000438
127.0.0.1, 2016-04-04 22:57:04, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000326
127.0.0.1, 2016-04-04 22:57:04, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001262
127.0.0.1, 2016-04-04 22:57:04, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001519
127.0.0.1, 2016-04-04 22:57:04, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002156
127.0.0.1, 2016-04-04 22:57:04, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000918
127.0.0.1, 2016-04-04 22:57:04, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002877
127.0.0.1, 2016-04-04 22:57:04, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001158
127.0.0.1, 2016-04-04 22:57:04, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000539
127.0.0.1, 2016-04-04 22:57:04, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000774
127.0.0.1, 2016-04-04 22:57:05, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000332
127.0.0.1, 2016-04-04 22:57:05, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000282
127.0.0.1, 2016-04-04 22:57:05, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000383
127.0.0.1, 2016-04-04 22:57:05, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000377
127.0.0.1, 2016-04-04 22:57:05, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002314
127.0.0.1, 2016-04-04 22:57:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.023413
127.0.0.1, 2016-04-04 22:57:16, GET, /admin, HTTP/1.1, 200, 0.917490
127.0.0.1, 2016-04-04 22:57:16, GET, /admin/static/_2.14.3/js/jquery.js, HTTP/1.1, 200, 0.000909
127.0.0.1, 2016-04-04 22:57:16, GET, /admin/static/_2.14.3/css/calendar.css, HTTP/1.1, 200, 0.000396
127.0.0.1, 2016-04-04 22:57:17, GET, /admin/static/_2.14.3/js/calendar.js, HTTP/1.1, 200, 0.000416
127.0.0.1, 2016-04-04 22:57:17, GET, /admin/static/_2.14.3/js/web2py.js, HTTP/1.1, 200, 0.001117
127.0.0.1, 2016-04-04 22:57:17, GET, /admin/static/_2.14.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000626
127.0.0.1, 2016-04-04 22:57:17, GET, /admin/static/_2.14.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.000397
127.0.0.1, 2016-04-04 22:57:17, GET, /admin/static/_2.14.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000394
127.0.0.1, 2016-04-04 22:57:17, GET, /admin/static/_2.14.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003010
127.0.0.1, 2016-04-04 22:57:17, GET, /admin/static/_2.14.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003505
127.0.0.1, 2016-04-04 22:57:17, GET, /admin/static/_2.14.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003689
127.0.0.1, 2016-04-04 22:57:17, GET, /admin/static/_2.14.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004918
127.0.0.1, 2016-04-04 22:57:17, GET, /admin/static/_2.14.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.000472
127.0.0.1, 2016-04-04 22:57:17, GET, /admin/static/_2.14.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000779
127.0.0.1, 2016-04-04 22:57:17, GET, /admin/static/_2.14.3/images/questions.png, HTTP/1.1, 200, 0.000462
127.0.0.1, 2016-04-04 22:57:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000244
127.0.0.1, 2016-04-04 22:57:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000226
127.0.0.1, 2016-04-04 22:57:19, POST, /admin/default/index, HTTP/1.1, 303, 0.026596
127.0.0.1, 2016-04-04 22:57:20, GET, /admin/default/site, HTTP/1.1, 200, 0.102902
127.0.0.1, 2016-04-04 22:57:20, GET, /admin/static/_2.14.3/images/folder_locked.png, HTTP/1.1, 200, 0.000332
127.0.0.1, 2016-04-04 22:57:20, GET, /admin/static/_2.14.3/images/folder.png, HTTP/1.1, 200, 0.000316
127.0.0.1, 2016-04-04 22:57:20, GET, /admin/static/_2.14.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000381
127.0.0.1, 2016-04-04 22:57:21, POST, /admin/default/check_version, HTTP/1.1, 200, 0.804490
127.0.0.1, 2016-04-04 22:57:48, POST, /admin/default/site, HTTP/1.1, 303, 0.060203
